(0.000000, 0.000000)
(20.000000, 0.000000)
(40.000000, 0.000000)
(60.000000, 0.000000)
(80.000000, 0.000000)
(100.000000, 0.000000)
(120.000000, 0.000000)
(140.000000, 0.000000)
(160.000000, 0.000000)
(180.000000, 0.000000)
(200.000000, 0.000000)
(220.000000, 0.000000)
(240.000000, 0.000000)
(260.000000, 0.000000)
(280.000000, 0.000000)
(300.000000, 0.000000)
(320.000000, 0.000000)
(340.000000, 0.000000)
(360.000000, 0.000000)
(380.000000, 0.000000)
(400.000000, 0.000000)
(420.000000, 0.000000)
(440.000000, 0.000000)
(460.000000, 0.000000)
(480.000000, 0.000000)
(500.000000, 0.000000)
(520.000000, 0.000000)
(540.000000, 0.000000)
(560.000000, 0.000000)
(580.000000, 0.000000)
(600.000000, 0.000000)
(620.000000, 0.000000)
(640.000000, 0.000000)
(660.000000, 0.000000)
(680.000000, 0.000000)
(700.000000, 0.000000)
(720.000000, 0.000000)
(740.000000, 0.000000)
(760.000000, 0.000000)
(780.000000, 0.000000)
(800.000000, 0.000000)
(820.000000, 0.000000)
(840.000000, 0.000000)
(860.000000, 0.000000)
(880.000000, 0.000000)
(900.000000, 0.000000)
(920.000000, 0.000000)
(940.000000, 0.000000)
(960.000000, 0.000000)
(980.000000, 0.000000)
(1000.000000, 0.000000)
(1020.000000, 0.000000)
(1040.000000, 0.000000)
(1060.000000, 0.000000)
(1080.000000, 0.000000)
(1100.000000, 0.000000)
(1120.000000, 0.000000)
(1140.000000, 0.000000)
(1160.000000, 0.000000)
(1180.000000, 0.000000)
(1200.000000, 0.000000)
(1220.000000, 0.000000)
(1240.000000, 0.000000)
(1260.000000, 0.000000)
(1280.000000, 0.000000)
(1300.000000, 0.000000)
(1320.000000, 0.000000)
(1340.000000, 0.000000)
(1360.000000, 0.000000)
(1380.000000, 0.000000)
(1400.000000, 0.000000)
(1420.000000, 0.000000)
(1440.000000, 0.000000)
(1460.000000, 0.000000)
(1480.000000, 0.000000)
(1500.000000, 0.000000)
(1520.000000, 0.000000)
(1540.000000, 0.000000)
(1560.000000, 0.000000)
(1580.000000, 0.000000)
(1600.000000, 0.000000)
(1620.000000, 0.000000)
(1640.000000, 0.000000)
(1660.000000, 0.000000)
(1680.000000, 0.000000)
(1700.000000, 0.000000)
(1720.000000, 0.000000)
(1740.000000, 0.000000)
(1760.000000, 0.000000)
(1780.000000, 0.000000)
(1800.000000, 0.000000)
(1820.000000, 0.000000)
(1840.000000, 0.000000)
(1860.000000, 0.000000)
(1880.000000, 0.000000)
(1900.000000, 0.000000)
(1920.000000, 0.000000)
(1940.000000, 0.000000)
(1960.000000, 0.000000)
(1980.000000, 0.000000)
(2000.000000, 0.000000)
(2020.000000, 0.000000)
(2040.000000, 0.000000)
(2060.000000, 0.000000)
(2080.000000, 0.000000)
(2100.000000, 0.000000)
(2120.000000, 0.000000)
(2140.000000, 0.000000)
(2160.000000, 0.000000)
(2180.000000, 0.000000)
(2200.000000, 0.000000)
(2220.000000, 0.000000)
(2240.000000, 0.000000)
(2260.000000, 0.000000)
(2280.000000, 0.000000)
(2300.000000, 0.000000)
(2320.000000, 0.000000)
(2340.000000, 0.000000)
(2360.000000, 0.000000)
(2380.000000, 0.000000)
(2400.000000, 0.000000)
(2420.000000, 0.000000)
(2440.000000, 0.000000)
(2460.000000, 0.000000)
(2480.000000, 0.000000)
(2500.000000, 0.000000)
(2520.000000, 0.000000)
(2540.000000, 0.000000)
(2560.000000, 0.000000)
(2580.000000, 0.000000)
(2600.000000, 0.000000)
(2620.000000, 0.000000)
(2640.000000, 0.000000)
(2660.000000, 0.000000)
(2680.000000, 0.000000)
(2700.000000, 0.000000)
(2720.000000, 0.000000)
(2740.000000, 0.000000)
(2760.000000, 0.000000)
(2780.000000, 0.000000)
(2800.000000, 0.000000)
(2820.000000, 0.000000)
(2840.000000, 0.000000)
(2860.000000, 0.000000)
(2880.000000, 0.000000)
(2900.000000, 0.000000)
(2920.000000, 0.000000)
(2940.000000, 0.000000)
(2960.000000, 0.000000)
(2980.000000, 0.000000)
(3000.000000, 0.000000)
(3020.000000, 0.000000)
(3040.000000, 0.000000)
(3060.000000, 0.000000)
(3080.000000, 0.000000)
(3100.000000, 0.000000)
(3120.000000, 0.000000)
(3140.000000, 0.000000)
(3160.000000, 0.000000)
(3180.000000, 0.000000)
(3200.000000, 0.000000)
(3220.000000, 0.000000)
(3240.000000, 0.000000)
(3260.000000, 0.000000)
(3280.000000, 0.000000)
(3300.000000, 0.000000)
(3320.000000, 0.000000)
(3340.000000, 0.000000)
(3360.000000, 0.000000)
(3380.000000, 0.000000)
(3400.000000, 0.000000)
(3420.000000, 0.000000)
(3440.000000, 0.000000)
(3460.000000, 0.000000)
(3480.000000, 0.000000)
(3500.000000, 0.000000)
(3520.000000, 0.000000)
(3540.000000, 0.000000)
(3560.000000, 0.000000)
(3580.000000, 0.000000)
(3600.000000, 0.000000)
(3620.000000, 0.000000)
(3640.000000, 0.000000)
(3660.000000, 0.000000)
(3680.000000, 0.000000)
(3700.000000, 0.000000)
(3720.000000, 0.000000)
(3740.000000, 0.000000)
(3760.000000, 0.000000)
(3780.000000, 0.000000)
(3800.000000, 0.000000)
(3820.000000, 0.000000)
(3840.000000, 0.000000)
(3860.000000, 0.000000)
(3880.000000, 0.000000)
(3900.000000, 0.000000)
(3920.000000, 0.000000)
(3940.000000, 0.000000)
(3960.000000, 0.000000)
(3980.000000, 0.000000)
(4000.000000, 0.000000)
